kan
fii
foon
gatii
guddicha
hafu
herregaa
horii
ibsuuf
isaatiin
isaatin
isatti
jechaa
jirruu
kennameef
km²
lafee
leenjii
madda
maraatoonii
murtii
qaamni
qilleensaa
reefu
sadarka
summii
tilmaamaan
urjii
uumama
waaqa
waggoota
warqee
yihuudota
Abbabaa
Abdiisaa
Arabaa
Bahaa
Booranaa
Dhuma
Firaanki
Hagayya
Harmee
Islaamaa
Kanaafuu
Kanas
Kunii
Of
Sillaasee
Waldaa
abjuu
ajajni
akkanaa
akkuman
anaaloogii
baane
baayoogaazii
bayinna
bayyee
beekan
beektu
bineensa
bishaanii
biyyi
bulaa
daldala
dandeessu
daqiiqaa
deebisee
dhahaa
dhigaa
dhihaa
dhiifama
dhiphina
dhukkubbii
faallaa
fakkaatan
fida
fiduu
fiigicha
filannoo
galgalaa
gammachuun
goone
gootummaa
gurra
gurraacha
guyyaatti
haasaa
himi
hunduma
ijaan
jaalalli
jechuunis
jedhus
jenne
kaaba
malle
muka
murteesse
qabattu
rakkisaa
rakkoon
sababiinsaas
siree
speed
turiin
weerara
yaadadhu
yaade
yerootti
Agariin
Haroo
Huseen
Jaarraa
Jarman
Jechuun
Kaaba
Koongoo
Kutaan
Minilik
New
Niwuu
Noobelii
Sirni
Takka
Waaqa
akkaataa
amino
ardii
arganne
baase
bahu
bakkee
baratee
bodda
boolla
calu
dabalaa
dandeenyu
de
dhaan
dhiba
dhufeenyi
dubbisee
egaa
fagoo
fedhu
fudhachuun
fudhatan
galan
geesse
giddu
gootu
guddoon
hiriyaa
hojjata
hubachuu
ijoolleen
isii
ittuma
jaalatu
jabaa
ka
kam
kamiinuu
kanaafis
koos
lakkaawwamu
maali
maddii
mataan
mootummoota
nyaatu
oduun
paatentii
qabaa
qabatte
raawwachuu
rakkina
riikardii
sadaffaa
seenan
seeran
tarminaalii
tilmaaman
tokkollee
tokkootti
utuu
uumamuu
waadaa
waantonni
wajjiin
wave
Aabbaa
Amajjii
Ammoo
Badhaasa
Barnoota
Barumsa
Bitootessa
Dhibeen
Ebla
Harargee
Hojiin
Ijiipti
Itoophiyaan
Kanaafis
Kompitarri
Miira
Nuti
Oromo
Qofa
Raphael
Shawaa
Ummatni
Warra
World
aanu
agarsiise
alla
ammallee
anii
argamani
argamuu
argan
argatee
asoosama
baasuu
barreeffamaa
baruu
beekamaa
beekuu
biyyattii
dararaa
darbaa
density
dhaabbata
dheerina
dhufanii
dide
duraaf
duuba
eegalee
elektiroonikii
faana
fincaanii
fufuun
gargaaru
gargara
gas
godheen
gubbaa
guddatee
hallu
hawwii
hidhame
hiriyoota
hojjachuuf
ibsutti
isaaniis
ittan
jedhamanii
jedhanitti
jedhutti
jiddu
jiraate
kaase
keenyatti
keessati
keessattuu
koof
koree
kufe
manneen
maraa
mijataa
moggaafame
mosee
murteessaa
muuziqaa
namichi
nyaachuu
oola
otuu
parsentiin
qabduu
qofaan
qonnaa
qonnaan
quba
raawwatu
ragaa
rakkisa
seenu
sekendii
shakkii
tilmaama
turetti
tuubii
walaloo
yeroof
Akkam
Akkuman
Alamuun
Ana
Ayyaana
Bakki
Daawud
Dambii
Dargiin
Dhuguma
Dhukkubni
Haati
Habashaa
Hayilasillaasee
Inumaayyuu
Kibbaa
Kunimmoo
Magarsaa
Manni
Marsiin
Onesmoos
Oromoota
Qabsoo
Qorannoo
Qorannoon
Sadarkaa
Seelii
Tiraanzisteriin
Walitti
Wallagga
afaanota
amalli
anaan
argaa
argachuun
atumti
baadiyyaa
baasuuf
baatii
baatiriin
badhaasa
badu
bahanii
ballini
bayee
chaarjii
daandii
dandeenya
dhaqee
dhibaa
dhibbantaa
dhibbeentaa
dhiyaatan
dhiyoo
dogoggora
duratti
fagaatee
fakkaatee
fakki
fedhiin
fiildii
fiixee
funyaan
fuuldura
gaaffiin
gadda
gaddi
galuuf
gargari
geessu
godhaa
godhuu
guddisuu
haalota
haaraan
hariiroo
hidda
hidhaatti
hiika
himaa
himee
hoogganaa
ibse
ibsuu
intala
irrattis
ishiin
isin
ittisuuf
jedhamani
jedhetti
jijjirama
jirran
jirtuu
kaabaa
kaleessaa
kanarra
karantiin
karoora
keemikaalaa
keenyaan
keessummaa
kennuuf
kuniis
kutta
loltuu
makame
mee
michuu
mitteenii
moggaa
mucayyoo
namootaa
niitii
odeessuu
qabachuuf
qabaniif
qabattee
qabeenyaa
qabnee
qabneef
raawwatamu
saxaxa
seenaan
shoora
sirumaa
tilmaamuu
tilmamaan
toluu
turuu
umuriin
uumu
waanuma
yaadni
Achiin
Amaara
Ballina
Baqqalaa
Biiroo
Biyya
Dhimma
Dilbata
Dorgommii
Finfinneetti
Ganda
Hayileen
Indiyaa
Kanarraan
Kanarratti
Kitaabni
Kurii
Lafa
Oromoof
Oromoonni
Oromootti
Rakkoo
Seenaa
Tokko
Tokkummaa
Tsahaay
WBO
Wallaggaa
Westiingihaawus
addunyaan
ajjeesee
akkasitti
argine
arguuf
baakteeriyaa
baayyina
bahaatti
barachuuf
barbaachisa
bareedaa
barreessee
battalumatti
bayyinan
beektaa
beekuun
bekkama
biqiltuu
bitaa
booddee
busaa
carraan
cina
cinaa
dabalata
dabarsee
dadhabe
dandii
deemuuf
dhaabe
dhabee
dhokannaa
dhufeera
dursaa
eessaa
elektrikii
fakkaate
falmaa
fesashi
fide
fudhanne
fufee
fufuu
funaantuu
gaafachuu
gaariin
gabatee
galaanaa
galche
gammoojjii
gamoo
garaagaraa
garagaraa
godheera
guutame
guutuun
haasofne
hafee
hagas
haphii
hojjetu
hulaa
ilaala
ilaallama
isaaniitti
ispoorii
jalqabde
jalqabne
jedhurraa
jettiin
jirus
kaa
kaayyoo
kaleessa
kanaatti
kennan
kiilomeetira
kootiin
laabiraatorii
lamaanuu
maalii
male
mataasaa
miseensota
moo
mucaan
murteessuu
nyaatan
obboleettii
oolle
oromoo
plate
qabachu
qabamanii
qabamuu
qabatanii
qabeeyyii
qabiyyee
qabsoon
qoratu
raadaarii
rakkisu
saalaa
sabdaneessaa
saffisaan
sagal
sammuun
seenuu
semiikondaakterii
tarkaanfii
tiin
tiyoorii
tiyyaa
tokkon
ulfaata
uumaa
uumame
uummame
uummamu
vacuum
walakkaan
waliinii
walqunnamtii
xiqqo
xiyyeeffannoo
yaa
yaadaan
yaalan
yaale
yihuudotaa
